id,result,result_info,test_id
1,ESFP,"Ваш психологический портрет и потенциальные способности:
энергичность, неуёмная общительность, хорошие коммерческие и дипломатические способности; умение выстраивать хорошие отношения; безразличие к ответственности и организованности (пренебрежение к запланированному в угоду неожиданному); стремление к лидерству и свободе в действиях; открытость для восприятия окружающего мира, умение радоваться жизни.",2
2,ISFP,"Ваш психологический портрет и потенциальные способности:
доброта, доверчивость, альтруизм, сентиментальность, жизнелюбие, оптимизм, внимательность, заботливость, свободолюбие и непокорность; главное – острота ощущений текущей минуты, стремление жить «здесь и сейчас». Избегание сферы руководства и ответственности, стремление разделить ответственность с кем-нибудь, стремление «не выделяться» и не конкурировать, зависимость работоспособности от настроения. Нетерпимость к рутине и необходимости выполнять работу к определённому сроку.",2
3,ISTJ,"Ваш психологический портрет и потенциальные способности:
спокойствие, логичность, надёжность, замкнутость и скрытность, малоэмоциональность, обладание развитым чувством долга; независимость; способность к организаторской деятельности, любовь к стабильности, порядку, чёткости и определенности; высокая работоспособность; склонность докапываться до сути (исследовательская жилка); высокое чувство ответственности.",2
4,ISTP,"Ваш психологический портрет и потенциальные способности:
стремление к независимости, жажда действий, самолюбие, обидчивость, замкнутость, недоверчивость, импульсивность, постоянный поиск знаний, но особого типа: в виде конкретных методик, приёмов, технологий; прирожденное изобретательство; нетерпимость рутины и «бумажной канители»; реалистичный подход к делу и оценка целесообразности различных мероприятий и действий; практическая оценка любой критической ситуации и использование всех возможных ресурсов для достижения успеха; стремление глубоко разобраться в возникающих практических проблемах; постоянное стремление к неизведанному.",2
5,INTJ,"Ваш психологический портрет и потенциальные способности:
независимость, самоуверенность, целеустремленность, рассудительность, логичность, справедливость, замкнутость, молчаливость, отсутствие способности разбираться в людях; ориентированность на время и цель; готовность взять готовую идею и усовершенствовать её; главная потребность – порядок в системе; умение логически докапываться до сути явлений, четко отделять главное от второстепенного.",2
6,ENFJ,"Ваш психологический портрет и потенциальные способности:
общительность, обаяние, отзывчивость, энтузиазм, раскрепощенность, энергичность, нетерпимость к рутине и монотонной деятельности, предусмотрительность и дальновидность; склонность к приобретению и систематизации знаний; понимание окружающих; умение вдохновлять и увлекать за собой окружающих; способность служить обществу наиболее эффективным образом.",2
7,ISFJ,"Ваш психологический портрет и потенциальные способности:
целеустремленность, осторожность, сдержанность, самоуглубленность, вежливость, тактичность. Любовь к работе в малой группе или «в одиночку». В работе Вас не утомляет рутина, не раздражают детали. Вы хороший, надежный исполнитель, а не руководитель; предпочтение – четко структурированной деятельности на основе уже разработанных планов и инструкций, умение контролировать; неприятие неопределенности и непредсказуемости; главное в жизни определяется словами «надо» и «должно», даже если приходится жертвовать своими личными интересами.",2
8,ENTP,"Ваш психологический портрет и потенциальные способности:
общительность, инициатива, энтузиазм, дружелюбие; развитое познавательное мышление; генерация идей, стремление к независимости, познанию и самообразованию (стремление к самосовершенствованию и совершенствованию окружающих), обладание способностями к классификации, а также к структурированию ситуаций и явлений окружающего мира; нетерпимость к рутине и регламентам, строгим распорядкам и давлению; постоянный поиск альтернатив скучной повседневности; есть проблема в понимании людей (все люди для Вас хорошие и добрые).",2
9,ESTP,"Ваш психологический портрет и потенциальные способности:
Вы достаточно противоречивы. С одной стороны – обаяние, дружеский стиль общения, воля, решительность, настойчивость, прагматизм, отвращение к любой рутинной и монотонной работе, повторяющейся от раза к разу; высокие потенциальные организаторские и управленческие способности; умение вносить конструктивные предложения и следовать далеким от рутины курсом; логическое мышление и гибкая психика. С другой стороны – взбалмошность и непостоянство; грубость и нетерпимость, хотя при высоком интеллекте эта ситуация может сглаживаться; умение подчинять себе и манипулировать, часто жестко и авторитарно; недоверчивость к людям (проверка людей «в деле»); трудность в сдерживании эмоций в отношениях с людьми.",2
10,INFJ,"Ваш психологический портрет и потенциальные способности:
задумчивость, склонность к размышлениям, уступчивость, любезность и заботливость, преданность взятым на себя обязательствам, приверженность к порядку и аккуратности; стремление к гармонии человеческих отношений, интеллектуальная проницательность, трудолюбие, пунктуальность и дисциплинированность, стремление к знаниям и самосовершенствованию.",2
